,Unique ID ,Parent ID,Name,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
,211,190,Printers/Copiers/Scanners/Fax,Consumer Electronics,Printers/Copiers/Scanners/Fax,,,
,212,190,Security Devices,Consumer Electronics,Security Devices,,,
,213,190,Tablets,Consumer Electronics,Tablets,,,
,214,190,Televisions,Consumer Electronics,Televisions,,,
,215,190,Video,Consumer Electronics,Video,,,
,216,215,Blu-Ray Disc Players,Consumer Electronics,Video,Blu-Ray Disc Players,,
,217,215,Camcorders,Consumer Electronics,Video,Camcorders,,
,218,190,Video Game Console Accessories,Consumer Electronics,Video Game Console Accessories,,,
,219,190,Video Games and Consoles,Consumer Electronics,Video Games and Consoles,,,
,220,,Consumer Packaged Goods,Consumer Packaged Goods,,,,
,221,220,Edible,Consumer Packaged Goods,Edible,,,
,222,221,Beverages,Consumer Packaged Goods,Edible,Beverages,,
,223,222,Carbonated Soft Drinks,Consumer Packaged Goods,Edible,Beverages,Carbonated Soft Drinks,
,224,222,Coffee & Tea,Consumer Packaged Goods,Edible,Beverages,Coffee & Tea,
,225,224,Coffee,Consumer Packaged Goods,Edible,Beverages,Coffee & Tea,Coffee
,226,224,Coffee Creamer,Consumer Packaged Goods,Edible,Beverages,Coffee & Tea,Coffee Creamer
,227,224,Coffee Filters,Consumer Packaged Goods,Edible,Beverages,Coffee & Tea,Coffee Filters
,228,224,Tea - Bags/loose,Consumer Packaged Goods,Edible,Beverages,Coffee & Tea,Tea - Bags/loose
,229,224,Tea - Instant Tea Mixes,Consumer Packaged Goods,Edible,Beverages,Coffee & Tea,Tea - Instant Tea Mixes
,230,224,Tea/Coffee - Ready-to-Drink,Consumer Packaged Goods,Edible,Beverages,Coffee & Tea,Tea/Coffee - Ready-to-Drink
,231,222,Drink Mixes,Consumer Packaged Goods,Edible,Beverages,Drink Mixes,
,232,231,Cocktail Mixes,Consumer Packaged Goods,Edible,Beverages,Drink Mixes,Cocktail Mixes
,233,231,Drink Mixes,Consumer Packaged Goods,Edible,Beverages,Drink Mixes,Drink Mixes
,234,231,Liquid Drink Enhancers,Consumer Packaged Goods,Edible,Beverages,Drink Mixes,Liquid Drink Enhancers
,235,231,Milk Flavoring Cocoa Mixes,Consumer Packaged Goods,Edible,Beverages,Drink Mixes,Milk Flavoring Cocoa Mixes
,236,222,Juices,Consumer Packaged Goods,Edible,Beverages,Juices,
,237,236,Aseptic Juices,Consumer Packaged Goods,Edible,Beverages,Juices,Aseptic Juices
,238,236,Bottled Juices,Consumer Packaged Goods,Edible,Beverages,Juices,Bottled Juices
,239,236,Canned Juices,Consumer Packaged Goods,Edible,Beverages,Juices,Canned Juices
