IAB Code	Tier	IAB Category
IAB18-2	Tier 2	Body Art
IAB18-3	Tier 2	Fashion
IAB18-4	Tier 2	Jewelry
IAB18-5	Tier 2	Clothing
IAB18-6	Tier 2	Accessories
IAB19	Tier 1	Technology & Computing
IAB19-1	Tier 2	3-D Graphics
IAB19-2	Tier 2	Animation
IAB19-3	Tier 2	Antivirus Software
IAB19-4	Tier 2	C/C++
IAB19-5	Tier 2	Cameras & Camcorders
IAB19-6	Tier 2	Cell Phones
IAB19-7	Tier 2	Computer Certification
IAB19-8	Tier 2	Computer Networking
IAB19-9	Tier 2	Computer Peripherals
IAB19-10	Tier 2	Computer Reviews
IAB19-11	Tier 2	Data Centers
IAB19-12	Tier 2	Databases
IAB19-13	Tier 2	Desktop Publishing
IAB19-14	Tier 2	Desktop Video
IAB19-15	Tier 2	Email
IAB19-16	Tier 2	Graphics Software
IAB19-17	Tier 2	Home Video/DVD
IAB19-18	Tier 2	Internet Technology
IAB19-19	Tier 2	Java
IAB19-20	Tier 2	JavaScript
IAB19-21	Tier 2	Mac Support
IAB19-22	Tier 2	MP3/MIDI
IAB19-23	Tier 2	Net Conferencing
IAB19-24	Tier 2	Net for Beginners
IAB19-25	Tier 2	Network Security
IAB19-26	Tier 2	Palmtops/PDAs
IAB19-27	Tier 2	PC Support
IAB19-28	Tier 2	Portable
IAB19-29	Tier 2	Entertainment
IAB19-30	Tier 2	Shareware/Freeware
IAB19-31	Tier 2	Unix
IAB19-32	Tier 2	Visual Basic
IAB19-33	Tier 2	Web Clip Art
IAB19-34	Tier 2	Web Design/HTML
IAB19-35	Tier 2	Web Search
IAB19-36	Tier 2	Windows
IAB20	Tier 1	Travel
IAB20-1	Tier 2	Adventure Travel
IAB20-2	Tier 2	Africa
IAB20-3	Tier 2	Air Travel
IAB20-4	Tier 2	Australia & New Zealand
IAB20-5	Tier 2	Bed & Breakfasts
IAB20-6	Tier 2	Budget Travel
IAB20-7	Tier 2	Business Travel
IAB20-8	Tier 2	By US Locale
IAB20-9	Tier 2	Camping
IAB20-10	Tier 2	Canada
IAB20-11	Tier 2	Caribbean
IAB20-12	Tier 2	Cruises
IAB20-13	Tier 2	Eastern Europe
IAB20-14	Tier 2	Europe
IAB20-15	Tier 2	France
IAB20-16	Tier 2	Greece
IAB20-17	Tier 2	Honeymoons/Getaways
IAB20-18	Tier 2	Hotels
IAB20-19	Tier 2	Italy
IAB20-20	Tier 2	Japan
IAB20-21	Tier 2	Mexico & Central America
IAB20-22	Tier 2	National Parks
IAB20-23	Tier 2	South America
IAB20-24	Tier 2	Spas
IAB20-25	Tier 2	Theme Parks
IAB20-26	Tier 2	Traveling with Kids
IAB20-27	Tier 2	United Kingdom
IAB21	Tier 1	Real Estate
IAB21-1	Tier 2	Apartments
IAB21-2	Tier 2	Architects
IAB21-3	Tier 2	Buying/Selling Homes
IAB22	Tier 1	Shopping
IAB22-1	Tier 2	Contests & Freebies
IAB22-2	Tier 2	Couponing
IAB22-3	Tier 2	Comparison
IAB22-4	Tier 2	Engines
IAB23	Tier 1	Religion & Spirituality
IAB23-1	Tier 2	Alternative Religions
IAB23-2	Tier 2	Atheism/Agnosticism
IAB23-3	Tier 2	Buddhism
IAB23-4	Tier 2	Catholicism
IAB23-5	Tier 2	Christianity
IAB23-6	Tier 2	Hinduism
IAB23-7	Tier 2	Islam
IAB23-8	Tier 2	Judaism
IAB23-9	Tier 2	Latter-Day Saints
IAB23-10	Tier 2	Pagan/Wiccan
IAB24	Tier 1	Uncategorized
IAB25	Tier 1	Non-Standard Content
IAB25-1	Tier 2	Unmoderated UGC
IAB25-2	Tier 2	Extreme Graphic/Explicit Violence
IAB25-3	Tier 2	Pornography
IAB25-4	Tier 2	Profane Content
IAB25-5	Tier 2	Hate Content
IAB25-6	Tier 2	Under Construction
IAB25-7	Tier 2	Incentivized
IAB26	Tier 1	Illegal Content
IAB26-1	Tier 2	Illegal Content
IAB26-2	Tier 2	Warez
IAB26-3	Tier 2	Spyware/Malware
IAB26-4	Tier 2	Copyright Infringement
