New Taxonomy ID	OLD RTB ID	OLD SUBJECT (v1)	New subject (v2)			NOT MAPPED (deprecated)	
313	IAB7-13	Chronic Fatigue Syndrome	Brain and Nervous System Disorders				
287	IAB7-14	Chronic pain	Diseases and Conditions				
566	IAB18-5	Clothing	Women's Clothing				
582	IAB18-5	Clothing	Men's Clothing				
576	IAB18-5	Clothing	Designer Clothing				
575	IAB18-5	Clothing	Children's Clothing				
315	IAB7-15	Cold/Flu	Cold and Flu				
214	IAB8-7	Cuisine-Specific	World Cuisines				
616	IAB19-11	Data Centers	Data Storage and Warehousing				
289	IAB7-16	Deafness	Ear, Nose and Throat Conditions				
301	IAB7-18	Depression	Mental health				
290	IAB7-20	Diabetes	Endocrine and Metabolic Diseases				
659	IAB20-13	Eastern Europe	Europe Travel				
313	IAB7-21	Epilepsy	Brain and Nervous System Disorders				
560	IAB18-3	Fashion	Women's Fashion				
579	IAB18-3	Fashion	Men's Fashion				
52	IAB13-3	Financial News	Business and Finance				
659	IAB20-15	France	Europe Travel				
214	IAB8-11	French Cuisine	World Cuisines				
318	IAB7-22	GERD/Acid Reflux	Digestive Disorders				
659	IAB20-16	Greece	Europe Travel				
313	IAB7-23	Headaches/Migraines	Brain and Nervous System Disorders				
286	IAB7	Health & Fitness	Medical Health				
223	IAB7	Health & Fitness	Healthy Living				
634	IAB10-6	Home Theater	Home Entertainment Systems				
318	IAB7-27	IBS/Crohn's Disease	Digestive Disorders				
388	IAB11-1	Immigration	Political Issues				
318	IAB7-29	Incontinence	Digestive Disorders				
304	IAB7-30	Infertility	Infertility				
619	IAB19-18	Internet Technology	Internet				
214	IAB8-13	Italian Cuisine	World Cuisines				
659	IAB20-19	Italy	Europe Travel				
657	IAB20-20	Japan	Asia Travel				
214	IAB8-14	Japanese Cuisine	World Cuisines				
581	IAB18-4	Jewelry	Men's Jewelry and Watches				
565	IAB18-4	Jewelry	Women's Jewelry and Watches				
459	IAB23-9	Latter-Day Saints	Christianity				
379	IAB11	Law, Govt and Pol.	News and Politics				
214	IAB8-15	Mexican Cuisine	World Cuisines				
662	IAB20-21	Mexico & Central America	South America Travel				
492	IAB17-21	Mountain Biking	Cycling				
518	IAB17-22	NASCAR Racing	Auto Racing				
379	IAB12	News	News and Politics				
453	IAB23-10	Pagan/Wiccan	Religion & Spirituality				
301	IAB7-34	Panic/Anxiety Disorders	Mental Health				
395	IAB4-8	Scholarships	Student Financial Aid				
608	IAB26-3	Spyware/Malware	Antivirus Software				
151	IAB20-25	Theme Parks	Amusement and Theme Parks				
659	IAB20-27	United Kingdom	Europe Travel				
