Ad Product 2.0 --> Content 1.0								
Ad Product 2.0					Content 1.0			
Name	Unique ID	Tier 1	Tier 2	Tier 3	Name	Content 1.0 ID	Tier 1	Tier 2
Nursing and Feeding Products	1126	Consumer Packaged Goods	Baby and Toddler Products	Nursing and Feeding Products	Family & Parenting	IAB6	Family & Parenting	
Back to School Supplies	1127	Consumer Packaged Goods	Back to School Supplies		Family & Parenting	IAB6	Family & Parenting	
Barbeque	1128	Consumer Packaged Goods	Barbeque		Barbecues & Grilling	IAB8-2	Food & Drink	Barbecues & Grilling
Charcoal	1129	Consumer Packaged Goods	Barbeque	Charcoal	Barbecues & Grilling	IAB8-2	Food & Drink	Barbecues & Grilling
Charcoal Lighter Fluids	1130	Consumer Packaged Goods	Barbeque	Charcoal Lighter Fluids	Barbecues & Grilling	IAB8-2	Food & Drink	Barbecues & Grilling
Beverages	1131	Consumer Packaged Goods	Beverages		Food & Drink	IAB8	Food & Drink	
Carbonated Soft Drinks	1132	Consumer Packaged Goods	Beverages	Carbonated Soft Drinks	Food & Drink	IAB8	Food & Drink	
Coffee and Tea	1133	Consumer Packaged Goods	Beverages	Coffee and Tea	Cofee/Tea	IAB8-6	Food & Drink	Cofee/Tea
Drink Mixes	1134	Consumer Packaged Goods	Beverages	Drink Mixes	Food & Drink	IAB8	Food & Drink	
Juices	1135	Consumer Packaged Goods	Beverages	Juices	Food & Drink	IAB8	Food & Drink	
Sports/Energy Drinks	1136	Consumer Packaged Goods	Beverages	Sports/Energy Drinks	Food & Drink	IAB8	Food & Drink	
Water	1137	Consumer Packaged Goods	Beverages	Water	Food & Drink	IAB8	Food & Drink	
Cosmetics	1138	Consumer Packaged Goods	Cosmetics		Beauty	IAB18-1	Style & Fashion	Beauty
Cosmetics Accessories	1139	Consumer Packaged Goods	Cosmetics	Cosmetics Accessories	Beauty	IAB18-1	Style & Fashion	Beauty
Cosmetics-Nail	1140	Consumer Packaged Goods	Cosmetics	Cosmetics-Nail	Beauty	IAB18-1	Style & Fashion	Beauty
Eye	1141	Consumer Packaged Goods	Cosmetics	Eye	Beauty	IAB18-1	Style & Fashion	Beauty
Facial	1142	Consumer Packaged Goods	Cosmetics	Facial	Beauty	IAB18-1	Style & Fashion	Beauty
Lip	1143	Consumer Packaged Goods	Cosmetics	Lip	Beauty	IAB18-1	Style & Fashion	Beauty
Storage	1144	Consumer Packaged Goods	Cosmetics	Storage	Beauty	IAB18-1	Style & Fashion	Beauty
Disposable Tableware	1145	Consumer Packaged Goods	Disposable Tableware		Entertaining	IAB10-2	Home & Garden	Entertaining
Cups and Plates	1146	Consumer Packaged Goods	Disposable Tableware	Cups and Plates	Entertaining	IAB10-2	Home & Garden	Entertaining
Disposable Tableware	1147	Consumer Packaged Goods	Disposable Tableware	Disposable Tableware	Entertaining	IAB10-2	Home & Garden	Entertaining
Foils, Wraps, and Bags	1148	Consumer Packaged Goods	Foils, Wraps, and Bags		Food & Drink	IAB8	Food & Drink	
Foil Pans	1149	Consumer Packaged Goods	Foils, Wraps, and Bags	Foil Pans	Food & Drink	IAB8	Food & Drink	
Foils and Wraps	1150	Consumer Packaged Goods	Foils, Wraps, and Bags	Foils and Wraps	Food & Drink	IAB8	Food & Drink	
Food and Trash Bags	1151	Consumer Packaged Goods	Foils, Wraps, and Bags	Food and Trash Bags	Food & Drink	IAB8	Food & Drink	
Fragrance	1152	Consumer Packaged Goods	Fragrance		Beauty	IAB18-1	Style & Fashion	Beauty
Fragrances - Women's	1153	Consumer Packaged Goods	Fragrance	Fragrances - Women's	Beauty	IAB18-1	Style & Fashion	Beauty
Shaving Lotion/Men's Fragrance	1154	Consumer Packaged Goods	Fragrance	Shaving Lotion/Men's Fragrance	Beauty	IAB18-1	Style & Fashion	Beauty
Frozen	1155	Consumer Packaged Goods	Frozen		Food & Drink	IAB8	Food & Drink	
Frozen Baked Goods	1156	Consumer Packaged Goods	Frozen	Frozen Baked Goods	Food & Drink	IAB8	Food & Drink	
Frozen Beverages	1157	Consumer Packaged Goods	Frozen	Frozen Beverages	Food & Drink	IAB8	Food & Drink	
