Content Taxonomy 1.0 Unique ID	Content Taxonomy 1.0 Tier 1 Value	Content Taxonomy 1.0 Tier 2 Value	Ad Product Taxonomy 2.0 Unique ID	Ad Product Taxonomy 2.0 Tier 1 Value	Ad Product Taxonomy 2.0 Tier 2 Value	Ad Product Taxonomy 2.0 Tier 3 Value
IAB14-2	Society	Divorce Support	1416	Legal Services		
IAB14-3	Society	Gay Life	1259	Dating		
IAB14-4	Society	Marriage	1416	Legal Services		
IAB14-5	Society	Senior Living	1334	Family and Parenting	Senior Living	
IAB14-6	Society	Teens	1328	Family and Parenting		
IAB14-7	Society	Weddings	1015	Business and Industrial	Business Services	Event Planning
IAB14-8	Society	Ethnic Specific	1008	Culture and Fine Arts		
IAB15	Science		1010	Business and Industrial		
IAB15-1	Science	Astrology	1487	Religion & Spirituality		
IAB15-2	Science	Biology	1010	Business and Industrial		
IAB15-3	Science	Chemistry	1010	Business and Industrial		
IAB15-4	Science	Geology	1010	Business and Industrial		
IAB15-5	Science	Paranormal Phenomena	1487	Religion & Spirituality		
IAB15-6	Science	Physics	1010	Business and Industrial		
IAB15-7	Science	Space/Astronomy	1010	Business and Industrial		
IAB15-8	Science	Geography	1010	Business and Industrial		
IAB15-9	Science	Botany	1010	Business and Industrial		
IAB15-10	Science	Weather	1010	Business and Industrial		
IAB16	Pets		1460	Pet Ownership		
IAB16-1	Pets	Aquariums	1460	Pet Ownership		
IAB16-2	Pets	Birds	1460	Pet Ownership		
IAB16-3	Pets	Cats	1460	Pet Ownership		
IAB16-4	Pets	Dogs	1460	Pet Ownership		
IAB16-5	Pets	Large Animals	1460	Pet Ownership		
IAB16-6	Pets	Reptiles	1460	Pet Ownership		
IAB16-7	Pets	Veterinary Medicine	1466	Pet Ownership	Veterinary Services	
IAB17	Sports		1510	Fitness Activities		
IAB17-1	Sports	Auto Racing	1510	Fitness Activities		
IAB17-2	Sports	Baseball	1510	Fitness Activities		
IAB17-3	Sports	Bicycling	1510	Fitness Activities		
IAB17-4	Sports	Bodybuilding	1510	Fitness Activities		
IAB17-5	Sports	Boxing	1510	Fitness Activities		
IAB17-6	Sports	Canoeing/Kayaking	1510	Fitness Activities		
IAB17-7	Sports	Cheerleading	1510	Fitness Activities		
IAB17-8	Sports	Climbing	1510	Fitness Activities		
IAB17-9	Sports	Cricket	1510	Fitness Activities		
IAB17-10	Sports	Figure Skating	1510	Fitness Activities		
IAB17-11	Sports	Fly Fishing	1510	Fitness Activities		
IAB17-12	Sports	Football	1510	Fitness Activities		
IAB17-13	Sports	Freshwater Fishing	1510	Fitness Activities		
IAB17-14	Sports	Game & Fish	1510	Fitness Activities		
IAB17-15	Sports	Golf	1510	Fitness Activities		
IAB17-16	Sports	Horse Racing	1510	Fitness Activities		
IAB17-17	Sports	Horses	1510	Fitness Activities		
IAB17-18	Sports	Hunting/Shooting	1510	Fitness Activities		
IAB17-19	Sports	Inline Skating	1510	Fitness Activities		
IAB17-20	Sports	Martial Arts	1510	Fitness Activities		
IAB17-21	Sports	Mountain Biking	1510	Fitness Activities		
IAB17-22	Sports	NASCAR Racing	1510	Fitness Activities		
IAB17-23	Sports	Olympics	1510	Fitness Activities		
IAB17-24	Sports	Paintball	1510	Fitness Activities		
IAB17-25	Sports	Power & Motorcycles	1510	Fitness Activities		
IAB17-26	Sports	Pro Basketball	1510	Fitness Activities		
IAB17-27	Sports	Pro Ice Hockey	1510	Fitness Activities		
IAB17-28	Sports	Rodeo	1510	Fitness Activities		
IAB17-29	Sports	Rugby	1510	Fitness Activities		
IAB17-30	Sports	Running/Jogging	1510	Fitness Activities		
IAB17-31	Sports	Sailing	1510	Fitness Activities		
IAB17-32	Sports	Saltwater Fishing	1510	Fitness Activities		
IAB17-33	Sports	Scuba Diving	1510	Fitness Activities		
IAB17-34	Sports	Skateboarding	1510	Fitness Activities		
IAB17-35	Sports	Skiing	1510	Fitness Activities		
IAB17-36	Sports	Snowboarding	1510	Fitness Activities		
IAB17-37	Sports	Surfing/Bodyboarding	1510	Fitness Activities		
IAB17-38	Sports	Swimming	1510	Fitness Activities		
IAB17-39	Sports	Table Tennis/Ping-Pong	1510	Fitness Activities		
IAB17-40	Sports	Tennis	1510	Fitness Activities		
IAB17-41	Sports	Volleyball	1510	Fitness Activities		
IAB17-42	Sports	Walking	1510	Fitness Activities		
IAB17-43	Sports	Waterski/Wakeboard	1510	Fitness Activities		
IAB17-44	Sports	World Soccer	1510	Fitness Activities		
IAB18	Style & Fashion		1494	Retail		
IAB18-1	Style & Fashion	Beauty	1089	Cosmetic Services	Beauty Salons	
IAB18-2	Style & Fashion	Body Art	1088	Cosmetic Services		
IAB18-3	Style & Fashion	Fashion	1058	Clothing and Accessories		
IAB18-4	Style & Fashion	Jewelry	1073	Clothing and Accessories	Jewelry and Watches	
